Observatory	event	ARMS ID	Deployment Date 	Retrieval Date	Latitude	Longitude
TZS	Kummelkobben_20200608_20201120	Kummelkobben	20200608	20201120	59.86442	23.265084
TZS	Spikarna_20180711_20181107	Spikarna	20180711	20181107	59.81094	23.206216
TZS	Spikarna_20200608_20201118	Spikarna	20200608	20201118	59.81094	23.206216
Vigo	TorallaA_20180607_20180924	TorallaA	20180607	20180924	42.2284	-8.7787
Vigo	TorallaA_20190625_20191014	TorallaA	20190625	20191014	42.2284	-8.7787
Vigo	TorallaA_20200706_20201006	TorallaA	20200706	20201006	42.2284	-8.7787
Vigo	TorallaB_20190625_20191014	TorallaB	20190625	20191014	42.2284	-8.7787
Vigo	TorallaB_20200706_20201006	TorallaB	20200706	20201006	42.2284	-8.7787
Vigo	TorallaC_20190625_20191014	TorallaC	20190625	20191014	42.2284	-8.7787
Vigo	TorallaC_20200706_20201006	TorallaC	20200706	20201006	42.2284	-8.7787
